Not_filtered,Be,B,Na,Mg ,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Pd,Ag,Cd,Sn,Sb,Ba,W,Pt,Hg,Tl,Pb,U
0,8116.0210514512,486150.6799442,2080547.79295391,222400400.972585,-166007.743981925,16147450.7513811,-829406.089963302,6130458.36231374,41789.748662171,2652.90165519134,3273540.55143167,290790.369615163,10212.2260617968,10280.8196654489,41304.9757350576,21494096.1466046,4014.9266441113,189226.714650225,39525.4858673264,2181.20324974009,1915.69714147508,2169.33965393611,7155.79307030519,7718.78269906207,27901.1370220164,2294.28487602516,2219.18612395693,5805.90239634328,3797.72171112672,2846.32723153422,3001.4810492714
1,0.34693482945202,181.886310981843,312.693828432484,1502.30475515664,32.7358813852606,2489.02870795005,-838.111525626214,2571.17797179128,9.62555556908211,3.73468166794123,26.3888255272357,201.707810384383,2.98423514941913,2.99622099160053,23.239505370043,166.571583823407,1.38177224370023,-95.2357862991635,11.0379182732027,0.158772619803505,0.494899348014642,0.211155426936123,1.10091593964309,6.75367839668047,7.373071375789,0.32787166312583,0.418266651081447,18.7362936901533,1.0242624302054,2.24278046418054,0.408535453266955
1,961.726390095943,9864.52054774262,10485.8468111559,10358.8919204109,10189.0848523052,10481.8742700268,9072.08769170716,11769.1029349807,10365.977136313,1012.53574188314,10182.0774192499,12894.5840237594,1033.9225418968,979.300932947972,10306.9453059593,10199.3757277383,978.660193996891,9330.14265455749,10687.3140269841,1020.97308477575,1075.83634398688,970.654582456787,1058.81274424588,1067.68685947944,10668.1312306693,1026.23136555469,977.669459200259,350.122745944088,1057.31876974297,1045.47196018526,1052.71821614624
1,945.30825495793,10724.7234759203,11429.5879933094,22095.6990155709,10779.6225510855,29581.8503871147,22310.4688835671,22631.0068783023,10213.2181291055,1023.79316794736,10316.3072020775,13334.4524543655,1788.09429709025,992.256695081328,10211.2530252466,9890.27420177908,964.325253228305,9905.48644912024,10344.1594934155,747.784433260446,1053.81633798454,960.032435574609,965.470474254894,1025.56876606568,10301.5416917984,1010.80280958132,986.983509012445,464.326447506053,1043.81980837382,1018.83633993064,1014.56117773112
1,8.20619373378187,6281.55317827563,665769.939871,1998102.1632007,14673.4970377887,285107.125203664,8887444.40423725,346264.218216719,123.42011377607,603.526699952504,14161.7358868308,55035.7395600398,657.036642117909,983.746543276674,3606.10700059848,7566.27632968786,69.0411918357795,781.7333888197,255.3848516042,1.96396855409996,2.98886911809672,18.8155983477424,10.6097672365013,18.1393739780999,519.021780954727,6.39643337600865,4.82612851389398,13.1440181884503,21.0785293414198,42.6575966785102,32.5463864252841
1,7.93482759379279,6005.25937724711,636622.386992914,1918891.27872804,16351.5877421159,280836.454357895,8503402.46663668,329385.07232981,113.752355619912,648.557595953238,13452.393786288,66508.6104529778,213.170605532765,940.013305449181,3388.57172661414,7358.4841763423,71.7229826787629,905.1716951334,251.463397269392,0.873292968163542,1.07270176056387,17.0858997745941,28.8720762614679,12.9211238795487,420.185389382009,5.60090923064248,4.42987641059566,7.28355030316986,18.8561730019182,38.1590950768177,30.8111364635607
0,7199.51102685934,61648.2344114436,1608472.49828718,4063034.09472632,-411482.307223321,2058121.9216255,3491272.22520188,1957658.74178467,118382.020806709,4010.3695541824,110988.812296471,453664.032752114,490432.949274111,10552.7468370774,86268.7835096053,301778.642160788,20336.9591000471,310571.000599739,105287.313960001,7891.04510449759,7542.25745168279,5939.56479255376,5010.42052932007,25415.9931190117,85320.2911022695,6105.4529892185,10013.3294336194,1939.92861416155,4787.74231575206,4037.61874005863,7360.69558467715
0,2169.20954451477,5573.39563347132,1347130.98957175,6328802.04449798,-222988.083430469,19671120.9295666,3240773.8611607,2075484.32990353,68964.1385956283,15846.2224675196,81881.0515092713,420105.433553531,29444484.4674869,15192.9344932072,59566.664930069,185481.927061934,14391.275009756,138003.230634694,62489.3652903537,2577.71338571052,2412.14817058639,2237.33229308175,2579.2024878348,14080.0758753557,33677.1320672648,1820.8625918717,3090.72097171303,1779.94739792063,1716.02205335079,3015.93945427865,2570.91141721767
1,-0.361855734309005,525.808347559051,3484.64193872483,24505.606096549,472.977747353816,19492676.7383285,4903.93080402885,15204.5891277968,96.0639411584082,10322.0816353421,1062.98257231122,46409.8482324468,29951481.7741405,6434.97391506033,420.933761865064,5586.50394593272,4740.21708086672,628.877663422731,1337.4573231166,-0.236937435808348,1.41908263234382,0.99406957229157,36.9378982934521,1.80128683852777,38.0633438672664,43.0417983005856,-0.020891864946861,6.74211350402338,-0.469775736182531,12.9554349460804,0.20165564078176
1,0.174159871086389,3608.31754756949,2919513.85106279,537937.842160376,11421.2984511291,1047219.64462804,3322994.56753216,640506.131828591,28.4363273731257,210.023350927567,5030.11525568085,34523.4163558636,8593.47727141577,759.84120521761,3306.41976586708,7960.67747503524,19.1443869278827,1092.94028047538,170.662435515053,0.288181042934527,1.40917638450418,18.7954466821597,7.00057632888855,13.6566109487863,981.631753296989,142.85104571657,10.2576022618201,4.01166202173839,0.673358566607808,12.6715881263931,1.03004063320788
